Date,Open,High,Low,Close,Adj Close,Volume
2011-10-17,119.190002,120.089996,119.139999,119.809998,116.67334,29649
2011-10-18,118.099998,118.120003,117.809998,117.949997,114.86203,2602
2011-10-19,119.5,119.68,119.370003,119.449997,116.322784,4152
2011-10-20,118.779999,119.379997,116.769997,116.769997,113.712936,4453
2011-10-21,118.900002,119.650002,118.900002,119.419998,116.293549,4268
2011-10-24,119.790001,120.279999,119.75,120.160004,117.014183,18997
2011-10-25,120.050003,120.050003,119.529999,119.669998,116.536995,3877
2011-10-26,118.209999,119.620003,118.209999,119.610001,116.478561,3171
2011-10-27,120.199997,120.580002,120.199997,120.209999,117.062874,2114
2011-10-28,125.0,125.0,119.57,120.610001,117.452408,30643
2011-10-31,120.209999,121.839996,120.050003,121.389999,118.211952,4431
2011-11-02,119.18,119.519997,119.18,119.470001,116.342255,2049
2011-11-03,120.0,120.809998,120.0,120.0,116.858368,3715
2011-11-04,121.379997,121.620003,121.190002,121.620003,118.435959,2445
2011-11-07,121.629997,121.629997,121.279999,121.529999,118.348305,3773
2011-11-08,122.129997,122.529999,122.120003,122.339996,119.1371,4686
2011-11-09,123.0,124.0,123.0,123.419998,120.188828,4427
2011-11-10,121.0,122.0,121.0,121.849998,118.659927,6252
2011-11-11,122.5,123.660004,122.5,123.610001,120.373856,7970
2011-11-14,123.599998,124.230003,123.599998,124.029999,120.78286,21725
2011-11-15,124.5,124.5,123.349998,123.650002,120.412804,8737
2011-11-16,124.160004,124.589996,124.050003,124.050003,120.802361,11333
2011-11-17,123.400002,123.529999,123.150002,123.199997,119.974594,8498
2011-11-18,122.400002,122.400002,122.120003,122.199997,119.000786,2683
2011-11-21,121.529999,121.989998,121.470001,121.900002,118.708633,3892
2011-11-22,121.470001,122.459999,121.400002,122.190002,118.991013,14307
2011-11-23,121.25,121.25,120.32,120.510002,117.355034,11446
2011-11-24,120.550003,120.889999,120.349998,120.889999,117.725105,2074
2011-11-25,119.699997,120.449997,119.639999,120.050003,116.907089,2539
2011-11-28,120.089996,120.510002,120.089996,120.349998,117.199211,3725
2011-11-29,121.139999,121.199997,120.650002,120.660004,117.501076,3314
2011-11-30,119.639999,119.809998,119.209999,119.690002,116.556496,3309
2011-12-01,121.919998,122.739998,121.919998,122.540001,119.331886,5341
2011-12-02,122.269997,122.989998,122.269997,122.900002,119.682449,1571
2011-12-05,122.889999,123.550003,122.889999,123.489998,120.257011,6793
2011-12-06,123.489998,123.730003,122.860001,123.449997,120.218025,6125
2011-12-07,123.599998,123.75,123.25,123.669998,120.432259,4244
2011-12-08,123.510002,124.309998,123.510002,124.25,120.997078,6375
2011-12-09,123.5,123.5,122.220001,123.099998,119.877213,2603
2011-12-12,123.0,124.639999,123.0,124.290001,121.036079,3712
2011-12-13,123.75,124.209999,123.699997,123.800003,120.558876,2901
2011-12-14,123.220001,123.68,123.199997,123.580002,120.344658,4964
2011-12-15,123.519997,123.519997,123.050003,123.230003,120.003799,3734
2011-12-16,123.449997,123.879997,123.330002,123.580002,120.344658,14559
2011-12-19,122.010002,123.239998,122.010002,122.910004,119.692177,8771
2011-12-20,122.650002,123.080002,122.57,122.57,119.361084,6437
2011-12-21,122.989998,124.440002,122.989998,123.589996,120.354362,14642
2011-12-22,123.900002,124.370003,123.790001,123.790001,120.549149,7927
2011-12-23,124.330002,124.68,123.919998,123.919998,120.675735,12692
2011-12-28,124.5,124.989998,124.5,124.849998,121.58139,614
2011-12-29,124.989998,124.989998,124.419998,124.419998,121.162643,2457
2011-12-30,124.919998,124.919998,124.5,124.5,121.240547,790
2012-01-03,123.120003,125.550003,123.120003,125.099998,121.824844,8323
2012-01-04,126.0,126.0,123.419998,123.669998,120.432259,3149
2012-01-05,123.82,124.089996,123.739998,123.739998,120.500443,1898
2012-01-06,125.099998,125.099998,124.830002,124.830002,121.561905,533
2012-01-09,125.0,125.870003,125.0,125.699997,122.409119,4546
2012-01-10,125.25,125.419998,124.970001,125.050003,121.776176,5124
2012-01-11,125.699997,125.760002,125.419998,125.459999,122.17543,2780
2012-01-12,125.989998,125.989998,125.550003,125.839996,122.545486,4923
2012-01-13,125.660004,126.169998,125.660004,126.050003,122.749985,2839
2012-01-16,126.0,126.080002,125.480003,125.480003,122.194916,2202
2012-01-17,125.989998,125.989998,125.57,125.709999,122.418877,4641
2012-01-18,125.360001,125.389999,125.019997,125.349998,122.068314,2924
2012-01-19,125.699997,126.389999,125.699997,126.239998,122.935005,9305
2012-01-20,126.550003,126.690002,126.349998,126.550003,123.236877,4464
2012-01-23,125.5,125.800003,125.459999,125.589996,122.30201,1660
2012-01-24,125.5,125.5,125.010002,125.290001,122.009888,5890
2012-01-25,126.239998,126.400002,125.730003,125.730003,122.438347,4209
2012-01-27,124.769997,124.800003,124.25,124.25,120.997078,3345
